Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-01-02,208.49465942382812,208.5045926934963,205.00617094284482,205.48322569697055,12077100
2020-01-03,207.3914794921875,209.1108755558181,205.6820166991645,205.94043338794853,11188400
2020-01-06,211.2974090576172,211.47629892097592,205.25465930650992,205.43354916986866,17058900
2020-01-07,211.75457763671875,213.26526883360782,210.45260644126304,211.51605782399304,14912400
2020-01-08,213.90138244628906,214.91513731453097,211.30737289525598,211.69498282056892,13475000
2020-01-09,216.9624786376953,217.0419902974229,214.95485093414487,216.20712545293262,12642800
2020-01-10,216.72393798828125,218.53279407783623,216.08785989240107,217.85695257048337,12119400
2020-01-13,220.55038452148438,220.61001448137728,217.86693016920398,218.25454007380782,14463400
2020-01-14,217.7178192138672,221.0174848874671,217.2904610987737,220.25219842323844,13288900
2020-01-15,219.7949981689453,220.32174962243903,218.79119194282097,219.2583134453981,10036500
2020-01-16,220.41122436523438,221.2659557708827,219.039674741792,221.2063258160024,10015300
2020-01-17,220.7789764404297,220.92805134377497,219.17884009488844,220.669649789543,15905900
2020-01-21,220.083251953125,221.00754661588667,217.77745918379807,220.79884176668858,14275800
2020-01-22,219.96400451660156,221.38523578799524,219.9242410995373,220.94792919208945,12212800
2020-01-23,218.41354370117188,220.1329550572462,217.9265555953113,219.39748351483465,11195000
2020-01-24,216.60470581054688,220.42117487434803,214.78591621796195,219.4471834827665,11905800
2020-01-27,213.55349731445312,214.73620866992388,211.19802303979912,211.79435293567823,13810700
2020-01-28,216.4556121826172,217.39980374418147,212.21178503509026,214.81572766096295,13413800
2020-01-29,221.86228942871094,222.82634755572226,217.1115771904881,220.08326323991793,33181300
2020-01-30,208.2462158203125,210.13456852078346,203.49550392600858,205.26459671516952,48775500
2020-01-31,200.6729278564453,207.41138648270285,199.82812962755827,207.15296976241714,31359900
2020-02-03,202.93894958496094,203.88312599164132,201.25930162886954,202.19354476411328,15495600
2020-02-04,208.54440307617188,209.30968964132074,203.9427655786737,205.35406361960108,19628900
2020-02-05,208.8226776123047,211.42662028096842,207.43126133865994,211.20796698578138,12538200
2020-02-06,209.55813598632812,209.89604917934724,208.05737799417432,209.1804593792485,10567500
2020-02-07,211.02906799316406,211.51607125055685,208.64376355740467,209.01150690086425,12242500
2020-02-10,211.75457763671875,212.49004911165255,209.3692885176715,210.22401989896812,11856400
2020-02-11,205.9205322265625,209.56804401436438,205.2446907566315,208.90215097939972,25030800
2020-02-12,209.46865844726562,209.92584667910234,206.129244713273,206.57649967507112,13813700
2020-02-13,211.83409118652344,213.01680248617112,207.89834742314363,208.23627576968474,15396600
2020-02-14,212.8677215576172,213.6131263415733,211.34709701157064,212.68883168881132,10741700
2020-02-18,216.46556091308594,216.6444507890148,212.0925102405722,212.24160030247936,15609200
2020-02-19,216.15745544433594,216.98237189697062,214.78590578028076,216.65439197011833,12135100
2020-02-20,213.26528930664062,217.429619976959,211.64527131830107,215.1934055261933,13109200
2020-02-21,208.89222717285156,212.92736443295075,207.55050767506424,212.17201122071887,14092300
2020-02-24,199.49020385742188,202.40224467367145,196.95582449543258,200.56358859303967,23080100
2020-02-25,195.56439208984375,202.2531530526224,194.74940896036225,201.01081181765542,21433500
2020-02-26,195.99176025390625,199.97720084600968,194.29224584981696,195.9818269830241,16524500
2020-02-27,188.58743286132812,194.67988020929658,188.33896457033822,190.64475759006888,21682600
2020-02-28,191.29075622558594,191.5591062081059,180.70601380684255,181.58061181994842,32568900
2020-03-02,195.23643493652344,195.36564329291318,187.69294171836876,192.84119711669828,24949000
2020-03-03,184.7510528564453,196.03151756372725,182.8428185008598,195.01776284925106,27984100
2020-03-04,190.58509826660156,190.654676662241,185.24800462654167,188.01097060333953,23062500
2020-03-05,184.0354766845703,187.8320791353071,182.7633203534532,185.63561295242383,19333400
2020-03-06,179.98045349121094,182.6539742217178,175.1800451997745,177.23736953837502,24559600
2020-03-09,168.46148681640625,173.92778874850202,164.17789627424824,168.56088019038242,29949000
2020-03-10,177.0982666015625,177.19764482163365,168.46150613211668,173.5998287176082,24517800
2020-03-11,169.1969451904297,174.80238831080555,166.63275102739735,172.9438354860857,20373900
2020-03-12,153.52357482910156,165.57926005980926,153.3943664766908,158.56250342422624,43266300
2020-03-13,169.23672485351562,169.74359471873137,156.63442013775654,162.52808084981294,35028600
2020-03-16,145.1154022216797,158.15502727812273,142.22324309904866,151.38675406380028,39120400
2020-03-17,148.5045166015625,152.99682725438325,139.14223383078428,149.81643637131103,34255600
2020-03-18,146.05960083007812,147.27211208807233,136.26001123060118,138.89376894045387,37553100
2020-03-19,152.19178771972656,158.9501124482879,143.91282324540947,145.72166434278574,39862300
2020-03-20,148.8126220703125,158.2941803862986,147.09322577209852,155.06409265819508,32568400
2020-03-23,147.192626953125,151.37682463161818,141.37846266830772,148.7430667183292,29830800
2020-03-24,159.99366760253906,160.32164750480814,151.635207391002,154.25903144385643,30440400
2020-03-25,155.2529296875,161.99138835546233,152.12222020104278,157.9463174011286,35184300
2020-03-26,162.33921813964844,162.99517798339974,156.05794843502412,157.2804080236159,26556800
2020-03-27,155.829345703125,159.10912973523017,153.80185139462847,157.23071031511614,24879900
2020-03-30,164.93324279785156,165.7283443344653,157.09158441316563,158.20471746524464,22515200
2020-03-31,165.77801513671875,169.88270020793783,163.19393933756885,164.4660955313755,23676300
2020-04-01,158.62216186523438,163.14427259568774,157.0717070020294,160.62977472262259,19507600
2020-04-02,157.22079467773438,160.3614374444946,154.9646984002825,158.12522287615656,20886300
2020-04-03,153.23533630371094,156.94249362021475,149.90587075635227,156.1871404125223,25983300
2020-04-06,164.53570556640625,165.18171705780128,157.5388299893632,159.16878137402077,28453600
2020-04-07,167.79559326171875,172.32765206239267,164.99286390770746,170.73744907447568,31411900
2020-04-08,173.21218872070312,173.92777850836143,166.7122658423221,170.20075468318225,21664200
2020-04-09,174.1166229248047,175.99504239206618,170.51880731874704,174.82226430125834,23534300
2020-04-13,173.7190704345703,173.92779045584925,168.41179178261808,172.60593742854883,19355400
2020-04-14,177.07835388183594,180.11960289192132,175.5378476701401,177.88338860035282,21011800
2020-04-15,175.88571166992188,177.09823798207313,171.76114465362468,174.11661888635015,17423000
2020-04-16,175.17010498046875,176.95907929843517,171.45301474009952,176.85968593871024,23593200
2020-04-17,178.1417999267578,179.17542116211595,175.57760579646953,178.10203651464886,20974800
2020-04-20,177.14791870117188,179.39406609134025,175.68692426271664,176.3230023391987,16110700
2020-04-21,169.75350952148438,174.3054496300613,167.3085752962852,174.1762412886208,24850500
2020-04-22,181.1631622314453,183.6478446355032,177.04852877693736,177.35662696859288,33242000
2020-04-23,183.99571228027344,185.9039466094171,182.02783283262355,182.95214260324065,21426600
2020-04-24,188.9054718017578,189.2433850239662,179.72207868408637,182.10736811359305,28792000
2020-04-27,186.35121154785156,192.56291859944662,186.2617666059807,191.47960052932055,29197800
2020-04-28,181.78932189941406,188.04077666593554,181.44146026831214,187.50409189555162,21731000
2020-04-29,193.0001983642578,195.70353411041768,188.83586810950055,189.76016271090387,45954500
2020-04-30,203.45578002929688,208.40526408996243,200.33501893233014,205.65223120708166,46230100
2020-05-01,201.03070068359375,206.00999907117634,197.8304283351143,200.36480757777085,30415600
2020-05-04,204.00238037109375,204.64840696413435,197.54220543248462,198.97338507610132,19250700
2020-05-05,205.8013153076172,209.09103292547098,205.23480034692798,205.75161861829878,21071200
2020-05-06,207.19271850585938,210.30354604367844,205.3938106895881,206.84485686794307,21857000
2020-05-07,209.9656219482422,210.30355032191804,207.75922249188082,209.86624373917257,15152000
2020-05-08,211.04893493652344,211.90366631228324,209.5581254554516,210.9396083012996,12506000
2020-05-11,211.8738250732422,213.68268109487647,209.08104455142652,209.5978627240788,12911900
2020-05-12,208.81272888183594,213.96098387848207,208.71333551309112,211.98317109673138,14704600
